7ci1_B     7ci1_A  7ci1B     7ci1A gtm1=  0.99896 gtm2=  0.99559 gbest= 0.998960  gdtts=   1.0000
7ci1_B     7ci2_A  7ci1B     7ci2A gtm1=  0.97774 gtm2=  0.92243 gbest= 0.977740  gdtts=   0.9475
7ci1_B     7ci2_B  7ci1B     7ci2B gtm1=  0.97768 gtm2=  0.92239 gbest= 0.977680  gdtts=   0.9449
7ci1_B     3uc0_B  7ci1B     3uc0B gtm1=  0.23924 gtm2=  0.51024 gbest= 0.510240  gdtts=   0.6028
7ci1_B     6h82_c  7ci1B     6h82c gtm1=  0.23376 gtm2=  0.50928 gbest= 0.509280  gdtts=   0.5511
7ci1_B     6h82_d  7ci1B     6h82d gtm1=  0.23376 gtm2=  0.50928 gbest= 0.509280  gdtts=   0.5511
7ci1_B     2n39_A  7ci1B     2n39A gtm1=  0.22605 gtm2=  0.50465 gbest= 0.504650  gdtts=   0.5512
7ci1_B     2n39_A  7ci1B     2n39A gtm1=  0.22503 gtm2=  0.50239 gbest= 0.502390  gdtts=   0.5542
7ci1_B     2n39_A  7ci1B     2n39A gtm1=  0.22495 gtm2=  0.50178 gbest= 0.501780  gdtts=   0.5387
7ci1_B     2loo_A  7ci1B     2looA gtm1=  0.22236 gtm2=  0.51765 gbest= 0.517650  gdtts=   0.4878
7ci1_B    6ncl_a0  7ci1B    6ncla0 gtm1=  0.22008 gtm2=  0.53432 gbest= 0.534320  gdtts=   0.5873
7ci1_B     8vl3_A  7ci1B     8vl3A gtm1=  0.21927 gtm2=  0.51723 gbest= 0.517230  gdtts=   0.5844
7ci1_B     5jno_A  7ci1B     5jnoA gtm1=  0.21727 gtm2=  0.50491 gbest= 0.504910  gdtts=   0.5594
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21677 gtm2=  0.52029 gbest= 0.520290  gdtts=   0.5476
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21632 gtm2=  0.51402 gbest= 0.514020  gdtts=   0.5753
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21443 gtm2=  0.50858 gbest= 0.508580  gdtts=   0.5723
