5muy_A     5mus_A  5muyA     5musA gtm1=  0.99898 gtm2=  0.99898 gbest= 0.998980  gdtts=   0.9985
5muy_A     5mus_B  5muyA     5musB gtm1=  0.94773 gtm2=  0.94497 gbest= 0.947730  gdtts=   0.8180
5muy_A     5muy_B  5muyA     5muyB gtm1=  0.94671 gtm2=  0.94671 gbest= 0.946710  gdtts=   0.8157
5muy_A     7bfq_U  5muyA     7bfqU gtm1=  0.27968 gtm2=  0.55813 gbest= 0.558130  gdtts=   0.5321
5muy_A     5muz_B  5muyA     5muzB gtm1=  0.27723 gtm2=  0.87905 gbest= 0.879050  gdtts=   0.9069
5muy_A     5muz_A  5muyA     5muzA gtm1=  0.27552 gtm2=  0.91646 gbest= 0.916460  gdtts=   0.9167
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26531 gtm2=  0.55612 gbest= 0.556120  gdtts=   0.5421
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26524 gtm2=  0.55271 gbest= 0.552710  gdtts=   0.5440
5muy_A     6vti_A  5muyA     6vtiA gtm1=  0.26511 gtm2=  0.50011 gbest= 0.500110  gdtts=   0.5318
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.26357 gtm2=  0.54864 gbest= 0.548640  gdtts=   0.5436
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26341 gtm2=  0.54775 gbest= 0.547750  gdtts=   0.5374
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26239 gtm2=  0.55359 gbest= 0.553590  gdtts=   0.5690
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.26212 gtm2=  0.53842 gbest= 0.538420  gdtts=   0.5500
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26097 gtm2=  0.54362 gbest= 0.543620  gdtts=   0.5561
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26079 gtm2=  0.53366 gbest= 0.533660  gdtts=   0.5374
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26051 gtm2=  0.54843 gbest= 0.548430  gdtts=   0.5714
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26049 gtm2=  0.53946 gbest= 0.539460  gdtts=   0.5566
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25941 gtm2=  0.53734 gbest= 0.537340  gdtts=   0.5660
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25922 gtm2=  0.52852 gbest= 0.528520  gdtts=   0.5364
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25892 gtm2=  0.54009 gbest= 0.540090  gdtts=   0.5841
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25883 gtm2=  0.53246 gbest= 0.532460  gdtts=   0.5708
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25868 gtm2=  0.52701 gbest= 0.527010  gdtts=   0.5561
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25785 gtm2=  0.53181 gbest= 0.531810  gdtts=   0.5385
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25761 gtm2=  0.52284 gbest= 0.522840  gdtts=   0.5394
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25563 gtm2=  0.52791 gbest= 0.527910  gdtts=   0.5595
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25556 gtm2=  0.52091 gbest= 0.520910  gdtts=   0.5405
