7ci1_B     7ci1_A  7ci1B     7ci1A gtm1=  0.99896 gtm2=  0.99559 gbest= 0.998960  gdtts=   1.0000
7ci1_B     7ci2_A  7ci1B     7ci2A gtm1=  0.97774 gtm2=  0.92243 gbest= 0.977740  gdtts=   0.9475
7ci1_B     7ci2_B  7ci1B     7ci2B gtm1=  0.97768 gtm2=  0.92239 gbest= 0.977680  gdtts=   0.9449
7ci1_B     3uc0_B  7ci1B     3uc0B gtm1=  0.23856 gtm2=  0.50845 gbest= 0.508450  gdtts=   0.5989
7ci1_B     6h82_c  7ci1B     6h82c gtm1=  0.23376 gtm2=  0.50928 gbest= 0.509280  gdtts=   0.5511
7ci1_B     6h82_d  7ci1B     6h82d gtm1=  0.23376 gtm2=  0.50928 gbest= 0.509280  gdtts=   0.5511
7ci1_B     2loo_A  7ci1B     2looA gtm1=  0.22236 gtm2=  0.51765 gbest= 0.517650  gdtts=   0.4878
7ci1_B    6ncl_a0  7ci1B    6ncla0 gtm1=  0.22008 gtm2=  0.53432 gbest= 0.534320  gdtts=   0.5873
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21632 gtm2=  0.51402 gbest= 0.514020  gdtts=   0.5753
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21575 gtm2=  0.51905 gbest= 0.519050  gdtts=   0.5633
7ci1_B     2kgy_A  7ci1B     2kgyA gtm1=  0.21443 gtm2=  0.50858 gbest= 0.508580  gdtts=   0.5723
7ci1_B     1tfk_A  7ci1B     1tfkA gtm1=  0.21190 gtm2=  0.51113 gbest= 0.511130  gdtts=   0.5833
7ci1_B     2mk6_A  7ci1B     2mk6A gtm1=  0.21020 gtm2=  0.50775 gbest= 0.507750  gdtts=   0.4688
7ci1_B     8oxh_A  7ci1B     8oxhA gtm1=  0.20685 gtm2=  0.52793 gbest= 0.527930  gdtts=   0.6486
7ci1_B     8oxl_A  7ci1B     8oxlA gtm1=  0.20621 gtm2=  0.51300 gbest= 0.513000  gdtts=   0.6284
7ci1_B     1ust_A  7ci1B     1ustA gtm1=  0.20610 gtm2=  0.50271 gbest= 0.502710  gdtts=   0.5162
